"date","sfcity_contract_adr","sfcity_contract_demt","sfcity_contract_occ","sfcity_contract_revpar","sfcity_contract_rmrevt","sfcity_group_adr","sfcity_group_demt","sfcity_group_occ","sfcity_group_revpar","sfcity_group_rmrevt","sfcity_total_adr","sfcity_total_demt","sfcity_total_occ","sfcity_total_revpar","sfcity_total_rmrevt","sfcity_total_supt","sfcity_transient_adr","sfcity_transient_demt","sfcity_transient_occ","sfcity_transient_revpar","sfcity_transient_rmrevt"
2013-01-01,111.697668373662,31728.4577514668,0.0451681569931401,3.40965765017196,3543994.75193108,202.622217765769,186890.384635564,0.266054350950519,36.4327310435699,37868144.2139555,186.317990916985,702451.901154293,0.675825069250878,125.918369114156,130879426.938884,1039399,184.913548902483,483833.058767262,0.688777492056341,86.075980420414,89467287.9729979
2013-02-01,116.776008413709,29205.596,0.0398457583547558,3.62005626082498,3410512.92422339,193.166480515791,195018.012,0.266066838046273,39.9854614667687,37670943.0152263,179.46,732966.248,0.778,139.61988,131538122.86608,942116,177.80437457853,508742.64,0.694087403598972,96.0143622724063,90456666.9266303
2013-03-01,119.561916184414,34464.2322355164,0.0415617128463476,3.95051243211348,4120609.64590299,207.098676193993,215140.358803526,0.259445843828715,42.7160581867635,44555283.504111,184.94,829230.315,0.795,147.0273,153357854.4561,1043057,180.602683729643,579625.723960957,0.698992443324937,100.360729381123,104681961.306086
2013-04-01,121.604038251228,34355.7,0.0384615384615385,4.13921437893602,4177791.85694771,209.27253088293,307180.376470588,0.343891402714932,63.6908164126058,64284414.8215713,202.01,893248.2,0.885,178.77885,180445068.882,1009320,202.973357712541,551712.123529412,0.617647058823529,110.948819208458,111982862.203481
2013-05-01,133.401280221998,37401.624,0.0419091967403958,4.80244608799193,4989424.5239818,208.07759474465,237915.886,0.266589057043073,47.6497691965249,49504965.3104224,198.8,892444.306,0.859,170.7692,177417928.0328,1038934,199.186842955359,617126.796,0.691501746216531,118.316984715483,122923538.198396
2013-06-01,142.959635509678,39214.89,0.0426695842450766,5.57542578487743,5606146.3809521,205.969474859599,257410.56,0.280087527352298,52.7281855640574,53018717.8665154,210.27,919036.14,0.914,192.18678,193245729.1578,1005510,216.289448547763,622410.69,0.677242888402626,133.883168651065,134620864.910333
2013-07-01,144.491994060299,40526.889,0.0433815350389321,5.63518776835167,5855811.0046704,195.979831356791,182890.576,0.195773081201335,34.4924503187952,35842864.2412264,212.58,934196.749,0.899,191.10942,198591544.90242,1039151,220.733599287797,710779.284,0.760845383759733,150.981781912853,156892869.656523
2013-08-01,144.561330284345,39488.916,0.0406417112299465,5.49333055080511,5708570.22844675,213.107219410663,206797.218,0.212834224598931,42.408336662722,44069980.1098408,230.23,971635.17,0.935,215.26505,223699565.1891,1039182,239.775620037927,725349.036,0.746524064171123,167.363382786473,173921014.850812
2013-09-01,140.294219025952,37250.5808628319,0.040929203539823,5.19662823460619,5226041.15041406,242.38545836988,258740.521128319,0.28429203539823,62.3619710563699,62714939.812549,244.94,910122.3,0.905,221.6707,222925356.162,1005660,252.36362474587,614131.19800885,0.674778761061947,154.112100709024,154984375.199037
2013-10-01,141.882411572646,38449.734,0.0407488986784141,5.24964922818792,5455340.98424678,240.27021494649,325263.966,0.344713656387665,75.2045772782514,78151243.0251679,247.69,943577.256,0.908,224.90252,233714650.53864,1039182,258.867909486668,579863.556,0.614537444933921,144.448293493561,150108066.529225
2013-11-01,139.518915980362,33231.1853932584,0.0411985018726592,4.60987219767322,4636378.96280985,217.432726151578,254772.421348315,0.31585518102372,55.0791569694283,55395862.1220025,215.29,806611.5,0.802,172.66258,173655389.835,1005750,219.092594284076,518607.893258427,0.64294631710362,112.973550832899,113623148.750188
2013-12-01,136.972232082292,34296.075,0.0448979591836735,4.52008365871563,4697609.94441169,170.487884461286,126791.55,0.165986394557823,20.7995219042769,21616423.1270674,176.1,763867.125,0.735,129.4335,134517000.7125,1039275,179.506714546565,602779.5,0.789115646258503,104.113894437007,108202967.641021
2014-01-01,139.661080360162,34196.9502846808,0.0455746367239101,4.58073821676797,4775983.02178127,228.158573302264,212319.548799086,0.282960504528897,46.4621683371458,48442525.33818,211.289228695846,750350.474362416,0.719675735488682,152.059731062519,158540972.979597,1042623,209.042005476876,503833.975278649,0.671464858747193,101.016824508605,105322464.619636
2014-02-01,141.19061222627,32082.5791002638,0.0425924662397031,4.81007066291608,4529758.98496398,206.813572682434,214828.405578507,0.285203741985214,47.1788231704429,44429430.0713621,207.313796843697,753245.396021646,0.799857915930406,165.821581487019,156158163.004282,941724,211.715758491799,506334.411342874,0.672203791775083,113.83268765366,107198973.947955
2014-03-01,145.854093078853,36639.4599191231,0.0435020848485646,5.12387311297675,5344015.19740269,212.228181452253,222406.24768246,0.264063266185961,45.2564743263122,47200873.4892679,205.282165909123,842246.068129123,0.807550469746917,165.775709510577,172898097.093989,1042964,206.366827857328,583200.36052754,0.692434648965474,115.395362071288,120353208.407319
2014-04-01,149.711301022448,37670.7493754568,0.0426150523342747,5.587327765054,5639736.89949021,218.402513899317,235145.337149377,0.266008269411016,50.8790869297256,51356332.7651264,210.310662103685,883977.545773391,0.875762889866444,184.182273213648,185909902.936392,1009380,210.9325307101,611161.459248557,0.691376678254709,127.715858518869,128913833.271776
2014-05-01,154.15938514277,37893.9784622614,0.0419206571698666,5.57571193125138,5841712.42035559,227.614789065983,258625.06999451,0.286107010525957,56.186405888264,58866890.7539754,225.634712042174,903945.238947741,0.86278438432476,194.674106111602,203961423.691868,1047707,229.250603114399,607426.19049097,0.671972332304177,132.911988292086,139252820.517537
2014-06-01,161.811512669916,38851.4226626043,0.0424067028128747,6.19907651009175,6286607.47041424,233.554736794173,260486.370530257,0.284323387532304,59.9907562297004,60837825.7076638,236.669554329802,916162.306558977,0.903406210861611,213.808745303393,216827724.787077,1014120,242.699971166908,616824.513366115,0.673269909654821,147.6189125636,149703291.608998
2014-07-01,164.006732014566,40296.0366571185,0.0426420757379959,6.30639797059336,6608821.28527316,219.336148006916,193120.465046063,0.204363956860666,40.4199597353967,42358298.9045076,236.170189304992,944982.999999999,0.901740055632159,212.964119642541,223176813.999999,1047955,244.825598488969,711566.498296818,0.752993967401338,166.237761936551,174209693.810218
2014-08-01,166.540264246131,40586.0903627365,0.0409923124327303,6.44953107986558,6759218.21372749,229.43270464748,234257.475664624,0.236602135025147,51.2838305348348,53746326.225626,256.213431293627,990090.286546766,0.944727315059552,242.051827028223,253674429.606637,1048017,270.073080554646,715246.720519406,0.722405552542123,184.318465413523,193168885.167284
2014-09-01,165.074591419875,39435.309722947,0.0428335524392688,6.41685162845171,6509767.64003169,260.063039502387,297171.012685698,0.322779008069935,76.1801088351126,77283196.811045,268.339460432904,920664,0.907523066004258,243.524249861997,247050480.999999,1014480,279.522935512455,584057.677591354,0.634387439490797,160.927289398433,163257516.548922
2014-10-01,164.212270842283,37525.5866324825,0.0399375766358266,5.87826510413926,6162161.79560877,264.840717633204,302373.471149258,0.321808791290454,76.3914076676935,80080807.0924124,273.807674706206,939606,0.896317452322626,245.418597419049,257271333.999999,1048296,285.186568758668,599706.942218259,0.638253632073719,163.148924647216,171028365.111978
2014-11-01,152.299371757175,35496.1328342474,0.0439074908578942,5.3288765973357,5406038.73046512,217.099364202922,213870.117032491,0.264549951180054,45.7683408541897,46431066.4297584,208.180057642591,808429.999999999,0.796891018058512,165.896818074284,168299004,1014480,208.31595468677,559063.750133261,0.691542557962051,114.799600622759,116461898.839776
2014-12-01,156.231465269147,35999.7850843507,0.0439167980124489,5.36549966238692,5624299.17310249,229.134307730322,215274.690952836,0.262617543344108,47.0570667268348,49326817.283337,218.380825567536,819727,0.782007643331546,170.775474750866,179012658.999999,1048234,218.244334071557,568452.523962813,0.693465658643443,118.352908361644,124061542.54356
2015-01-01,159.634670796501,36544.97,0.0481430536451169,5.58721347787752,5833844.25521799,271.15793388756,230755.382,0.303988995873453,59.9259033891507,62571152.6165546,250.57,759091.234,0.727,182.16439,190205490.50338,1044142,247.667246566819,491790.882,0.647867950481431,116.651273132972,121800493.631607
2015-02-01,156.252834135953,32813.7678288917,0.0440635428188993,5.46060312129214,5127244.2219435,217.508958716718,202969.947161673,0.27255556278525,47.0181456111952,44147781.8579229,210.704201199959,744691.999999999,0.79310976492941,167.111559483339,156909733,938952,211.501188113174,508908.285009434,0.68338089439585,114.632810750851,107634706.920133
2015-03-01,159.661210818201,38203.7913571878,0.0438073668849033,5.8675774283342,6099663.58593453,244.817135315889,251235.09758132,0.288085231939648,59.1663895099885,61506656.8806666,233.914146081923,872086,0.83890399151944,196.231510820987,203993252,1039554,234.081537424811,582647.111061492,0.668107401175449,131.197543882664,136386931.533399
2015-04-01,166.034741230895,38729.0645182981,0.0446815391659915,6.38541687064097,6430370.20541028,238.697650301669,218037.639025421,0.251548996314429,51.6812362097746,52045072.1126914,234.964538867994,866780,0.860720527486495,202.238801835081,203662563,1007040,238.006485309954,610013.296456281,0.703769464519579,144.172148754665,145187120.681898
2015-05-01,172.713079896756,38007.7126205071,0.0418169434502178,6.32559976190799,6564429.10651859,242.05771847044,240470.382628689,0.264570943593447,56.0899789341754,58207712.1788141,236.211609108522,908907,0.875838829166008,206.883299157027,214694384.999999,1037756,237.809914147144,630428.904750804,0.693612112956335,144.467720460943,149922243.714667
2015-06-01,182.47063350928,38204.9020598007,0.0420819490586933,6.94156279325669,6971272.68201183,245.157415702928,253358.824186047,0.27906976744186,61.8480847801246,62112794.5829836,251.12,907869.12,0.904,227.01248,227984093.4144,1004280,257.826765366247,616305.393754153,0.678848283499446,158.222832426619,158900026.149405
2015-07-01,188.519290005351,42485.717,0.0459126539753639,7.72929089021939,8009377.20420827,232.079125951845,177196.527,0.191489361702128,39.6855305377655,41123615.1078625,255.71,925359.641,0.893,228.34903,236623713.80011,1036237,265.688999371535,705677.397,0.762597984322508,180.934208572015,187490721.488039
2015-08-01,189.626982171277,42706.871,0.0448087431693989,7.77470626902238,8098375.06570805,245.301968181905,173952.377,0.182513661202186,40.9654286863781,42670860.4480207,262.01,953092.365,0.915,239.73915,249719730.55365,1041631,270.154193839603,736433.117,0.772677595628415,190.9990150446,198950495.039921
2015-09-01,194.398025920339,38497.8,0.0418041804180418,7.38712498497289,7483896.32227604,273.561294256437,273537,0.297029702970297,73.861549449238,74829135.747023,284.58,920907.9,0.909,258.68322,262071970.182,1013100,295.232188961379,608873.1,0.661166116611661,177.434545565789,179758938.112701
2015-10-01,198.896980349257,37688.436,0.0400890868596882,7.16029129257325,7496116.11448623,291.51626091306,313023.399,0.332962138084633,87.1633620130049,91251410.8547769,290.48,940117.098,0.898,260.85104,273085214.62704,1046901,295.785766775172,589405.263,0.626948775055679,166.527386694422,174337687.657777
2015-11-01,175.197992504202,36102.8671218173,0.0459428052686453,6.27364323244995,6325149.84338837,247.901535476526,233743.403105286,0.297450826148016,57.4734911747642,57945348.537309,233.323765432884,785821.999999999,0.779422937681633,181.857894684639,183350948,1008210,230.786920291221,515975.729772896,0.656606368583339,118.110760277425,119080449.619302
2015-12-01,173.281066436731,38533.0954395013,0.0478357643728548,6.40904868212472,6677055.87086513,208.897560009247,133562.173029465,0.165806784149876,26.7809145515845,27900812.0553881,192.462098819533,805528.999999999,0.773196252316865,148.810973520301,155033801.999999,1041817,190.163434748888,633433.731531033,0.78635745147727,115.621010286592,120455934.073746
